# Magic Lantern Simplified Chinese translation.
# Exact display string|translation
About Magic Lantern|关于 Magic Lantern
Raw video preview (long half-shutter press to override):|RAW 视频预览（长按半快门可临时覆盖）：
Record Digital Volume. |录音数字音量。 
Record RAW video (MLV format, no sound, basic metadata).|录制 RAW 视频（MLV 格式、无声音、基础元数据）。
Record RAW video. Press SET to start.|录制 RAW 视频，按 SET 开始。
Record a H.264 video at the same time.|同时录制 H.264 视频。
Run the focus stacking sequence.|运行焦点堆栈序列。
Save current keyframes to file.|将当前关键帧保存到文件。
Scaling for input signal (useful with flat picture styles).|输入信号缩放，适用于低反差照片风格。
Screenshot after 10 seconds => VRAMx.BMP.|10 秒后截图并保存为 VRAMx.BMP。
Scripts for sorting intervalometer sequences.|用于整理间隔拍摄序列的脚本。
Seconds between stack segments to let flashes recycle.|堆栈分段之间等待的秒数，以便闪光灯回电。
Select a center-based AF pattern with LEFT and RIGHT keys.|用左右键选择以中央点为基础的对焦点模式。
Select a horizontal AF pattern with LEFT and RIGHT keys.|用左右键选择水平对焦点模式。
Select a vertical AF pattern with LEFT and RIGHT keys.|用左右键选择垂直对焦点模式。
Select whether this script will be loaded at camera startup.|选择是否在相机启动时加载此脚本。
Set keyframes by global time (time of day)|按全局时间（当天时间）设置关键帧
Set minimum shutter value.|设置最低快门值。
Set the cut off frequency for noise reduction|设置降噪滤波的截止频率
Sets up stack focus to use the same range as rack focus.|让焦点堆栈使用与焦点移动相同的范围。
Shoot one image with the hack, one without.|交替拍摄一张启用功能、一张不启用功能的图像。
Shortcut key for enabling powersave modes right away.|立即启用节电模式的快捷键。
Show current lens ID. Should match exiftool TEST.CR2 -LensType -b.|显示当前镜头 ID，应与 exiftool TEST.CR2 -LensType -b 一致。
Show current lens capability bits.|显示当前镜头功能位。
Show current lens extender information byte.|显示当前镜头增距镜信息字节。
Show current lens focal length.|显示当前镜头焦距。
Show current lens serial number. Not all cameras report this.|显示当前镜头序列号，并非所有相机都会报告。
Show current lens version string.|显示当前镜头版本字符串。
Show where the white point and the SNR levels are metered|显示白点和信噪比级别的测量区域
Show/hide script console.|显示或隐藏脚本控制台。
Sidecar file format, for deflicker metadata.|去闪烁元数据辅助文件的格式。
Simulate minimum aperture value.|模拟最小光圈值。
Slow down Canon GUI, disable auto exposure, white balance...|减慢佳能界面、禁用自动曝光和自动白平衡等。
Slowest shutter speed for ETTR (longest exposure time).|向右曝光使用的最慢快门（最长曝光时间）。
Smooth panning of the recording window (software dolly).|平滑移动录像窗口（软件轨道移动）。
Snap the focus box to preset points (press CENTER key)|将对焦框吸附到预设点（按中央键）
Sound recording options provided by mlv_snd.|由 mlv_snd 提供的声音录制选项。
Step size for focus commands (same units as in EOS Utility)|对焦命令步长（与 EOS Utility 使用相同单位）
Stop underexposing when at least 5% of the image gets|当至少 5% 的画面达到目标时停止欠曝
Stop underexposing when at least half of the image gets|当至少一半画面达到目标时停止欠曝
Take odd pictures with flash, even pictures without flash.|奇数张使用闪光，偶数张不使用闪光。
Take pics in LiveView without moving the shutter mechanism.|在实时取景中拍照，不动作机械快门。
Takes pictures at different focus points.|在不同焦点位置拍摄照片。
Task info: ID, name, priority, wait_id, mem, state.|任务信息：ID、名称、优先级、等待 ID、内存、状态。
The focus offset in steps|以步数表示的焦点偏移
The frame at which to apply this keyframe|应用此关键帧的帧号
Total memory allocated by ML. Press SET for detailed info.|ML 分配的总内存，按 SET 查看详情。
Tuning parameters and prefs for rack/stack/follow focus.|焦点移动、焦点堆栈和跟焦的参数及设置。
Turn off GlobalDraw when idle, to save some CPU cycles.|空闲时关闭全局叠加显示以降低 CPU 占用。
Turn off display. Will also pause LiveView if not recording.|关闭显示屏；未录像时还会暂停实时取景。
Turn the screen on/off while taking bulb exposure.|B 门曝光时开启或关闭屏幕。
Tweaks for LiveView focus box: move faster, snap to points.|实时取景对焦框调整：快速移动、吸附到预设点。
Underexposure threshold.|欠曝阈值。
Use RAW zebras if possible.|尽可能使用 RAW 斑马纹。
Use external trigger to start/pause recording within a video clip.|使用外部触发器在当前视频片段内开始或暂停录像。
Use left & right for minimum. Main dial for maximum.|左右键调整最小值，主拨盘调整最大值。
Use this module with an external intervalometer|将此模块与外部间隔定时器配合使用
Wait for 'focus done' signal before sending next command.|等待“对焦完成”信号后再发送下一条命令。
Waveform size: Small / Large / FullScreen.|波形图大小：小 / 大 / 全屏。
When should the exposure be adjusted for ETTR:|向右曝光应在何时调整曝光：
When you press halfshutter exposure will be set.|半按快门时设置曝光。
Where to meter for deflicking. Recommended: 50% (median).|去闪烁测光位置，推荐 50%（中位数）。
Where to place the exposure level for processed pics|处理后照片的目标曝光级别
Write a large file on the card at camera startup.|相机启动时在存储卡上写入大文件。
You can hide the focus box (the little white rectangle).|可以隐藏对焦框（白色小矩形）。
You can hide zebras when recording.|录像时可隐藏斑马纹。
You can take virtual (fake) pictures just for testing.|可拍摄虚拟照片用于测试。
You may also have cropmarks in Playback mode.|回放模式中也可显示裁切标记。
Zoom when you turn the focus ring (only some Canon lenses).|转动对焦环时放大（仅部分佳能镜头）。
[READ-ONLY] How much more DR you get with current settings|[只读] 当前设置增加的动态范围
[READ-ONLY] How much of midtones will get better resolution|[只读] 中间调分辨率提升程度
[mlv_snd] Enable log file tracing. Needs camera restart.|[mlv_snd] 启用日志跟踪，需要重启相机。
[mlv_snd] Enable sound recording for MLV.|[mlv_snd] 为 MLV 启用声音录制。
[mlv_snd] Select your sampling rate.|[mlv_snd] 选择采样率。
first-order high pass filter for DC cut|用于直流隔离的一阶高通滤波器
second-order high pass filter for noise cut|用于降噪的二阶高通滤波器
Boost on WB: increase saturation when you are adjusting WB.|调整白平衡时增强显示：提高饱和度以便观察。
 \n \n \n \n \nBoost on WB: increase saturation when you are adjusting WB.| \n \n \n \n \n调整白平衡时增强显示：提高饱和度以便观察。
Display the dynamic range at current ISO, from noise stdev.\nShow how many stops you can push the exposure to the right.\n|根据噪声标准差显示当前 ISO 的动态范围。\n显示曝光还能向右提升多少档。\n
 \nDisplay the dynamic range at current ISO, from noise stdev.\nShow how many stops you can push the exposure to the right.\n| \n根据噪声标准差显示当前 ISO 的动态范围。\n显示曝光还能向右提升多少档。\n
Full: try ISO bracket first. If out of range, use main var.\nHalf: Bracket with both ISO (50%) and main variable (50%).\n|完整：优先使用 ISO 包围，超出范围后使用主变量。\n一半：同时使用 ISO（50%）和主变量（50%）包围。\n
 \nFull: try ISO bracket first. If out of range, use main var.\nHalf: Bracket with both ISO (50%) and main variable (50%).\n| \n完整：优先使用 ISO 包围，超出范围后使用主变量。\n一半：同时使用 ISO（50%）和主变量（50%）包围。\n
(in EVs above the noise floor)|（高于噪声底的 EV 数）
(upper theoretical limit, estimated from DxO measurements)|（根据 DxO 测量估算的理论上限）
(what exactly is considered highlight, midtone and shadow).|（高光、中间调和阴影的具体划分）。
* Computed time inacurate if ramping interval time|* 使用渐变间隔时，计算时间可能不准确
14-bit: native uncompressed format used in Canon firmware.\n12-bit: uncompressed, 2 LSB trimmed (nearly lossless on current sensor).\n10-bit: uncompressed, 4 LSB trimmed (small loss of detail in shadows).\n14-bit compressed with Canon's Lossless JPEG. Recommended ISO < 100.\nSignal divided by 4 before compression. Recommended ISO 100-1600.\nSignal divided by 8/16/32/64 before compression, depending on ISO.\n|14 位：佳能固件使用的原生无压缩格式。\n12 位：无压缩，裁去 2 个最低有效位（当前传感器上近乎无损）。\n10 位：无压缩，裁去 4 个最低有效位（阴影细节略有损失）。\n14 位佳能无损 JPEG 压缩，建议 ISO 低于 100。\n压缩前信号除以 4，建议 ISO 100–1600。\n依 ISO 而定，压缩前信号除以 8/16/32/64。\n
Advanced: digital ISO tweaks, HTP, ISO 50, ISO 800.000...|高级：数字 ISO 调整、高光色调优先、ISO 50、ISO 800000 等。
After release you previos exposure will be restored.|松开后将恢复之前的曝光。
Always ON: just the Canon mode, press shutter twice.\nSelf-Timer: MLU setting will be linked to Canon self-timer.\nHandheld: trick to reduce camera shake. Press shutter once.|始终开启：使用佳能模式，按两次快门。\n自拍：反光镜预升设置关联佳能自拍定时器。\n手持：减少相机震动，按一次快门。
Always ON: when you take a pic, or continuously in LiveView\nAuto Snap: after u take a pic,trigger another pic if needed\nPress SET: meter for ETTR when you press SET (LiveView)\nHalfS DblClick: meter for ETTR when pressing halfshutter 2x\n|始终开启：拍照时或实时取景中持续测光\n自动拍摄：拍照后按需再触发一次拍摄\n按 SET：实时取景中按 SET 进行向右曝光测光\n双击半按：连续两次半按快门进行向右曝光测光\n
Auto: ML chooses what's best for each video mode\nPlain old LiveView (color and real-time). Framing is not always correct.\nSlow (not real-time) and low-resolution, but has correct framing.\nFreeze LiveView for more speed; uses 'Framing' preview if Global Draw ON.\n|自动：ML 为各视频模式选择最佳方式\n普通实时取景：彩色且实时，但构图不一定准确。\n慢速：非实时且分辨率低，但构图准确。\n冻结实时取景以提高速度；全局叠加开启时使用构图预览。\n
Be careful, won't take pics if it can't autofocus.|注意：无法自动对焦时不会拍照。
Can be absolute or relative to primary ISO from Canon menu.|可设为绝对值，或相对于佳能菜单中的主 ISO。
DCIM/100CANON/IMG_1234.JPG -> DCIM/123CANON/IMG_1234.JPG|DCIM/100CANON/IMG_1234.JPG -> DCIM/123CANON/IMG_1234.JPG
DNG is slow, but needs no extra post-processing.\nMLV is fast, and will group all frames into a single video file.\nLossless DNG is fast and uses CR2 compression routines (experimental).\n|DNG 较慢，但无需额外后处理。\nMLV 较快，并将所有帧保存在单个视频文件中。\n无损 DNG 较快，使用 CR2 压缩程序（实验性）。\n
Disabled (press REC as usual).\nPress half-shutter to start/pause recording within the current clip.\nPress and hold the shutter halfway to record (e.g. for short events).\nHalf-shutter to save only the pre-recorded frames (at least 1 frame).\n|禁用（照常按录像键）。\n半按快门可在当前片段内开始或暂停录像。\n持续半按快门进行录像，适合短事件。\n半按快门仅保存预录帧（至少一帧）。\n
Do not load ML if you start the camera with SET pressed (default)\nLoad ML only if SET is pressed at startup (optional)|按住 SET 开机时不加载 ML（默认）\n仅在按住 SET 开机时加载 ML（可选）
EV below overexposure.|低于过曝点的 EV 数。
EXP: reacts to exposure changes (large movements).\nDIF: detects smaller movements that do not change exposure.\nSTDY: take pic if there's little or no motion (cam steady).|曝光：检测曝光变化（较大运动）。\n差异：检测不改变曝光的较小运动。\n稳定：运动很小或无运动时拍摄（相机稳定）。
Examples: IMG_1234.JPG -> ABCD1234.JPG, IMG_1234.JPG -> IMG_0001.JPG.|示例：IMG_1234.JPG -> ABCD1234.JPG，IMG_1234.JPG -> IMG_0001.JPG。
Expo bracket. M: changes shutter. Others: changes AEcomp.\nFlash bracket: change flash exposure compensation.\nDOF bracket: keep exposure constant, change Av/Tv ratio.|曝光包围：M 模式更改快门，其他模式更改曝光补偿。\n闪光包围：更改闪光曝光补偿。\n景深包围：保持曝光不变，更改 Av/Tv 比例。
For LiveView preview only. Does not affect recording.\nSwap U-V: reverses red and blue components\nExtreme Chroma: highly saturated image showing WB direction\n|仅用于实时取景预览，不影响录像。\n交换 U-V：反转红色和蓝色分量。\n极端色度：用高饱和图像显示白平衡偏移方向。\n
For best performance, record H.264 on SD and RAW on CF.|为获得最佳性能，请将 H.264 录到 SD 卡、RAW 录到 CF 卡。
Highlights/shadows will be half res, with aliasing/moire.|高光和阴影分辨率减半，并可能出现锯齿或摩尔纹。
If green (RD) is always above red (WR), it's safe to use single-buffering.|如果绿色读指针始终领先红色写指针，则可安全使用单缓冲。
LED will blink every 10s. WARNING: this limit is there for good reason!|LED 每 10 秒闪烁一次。警告：此限制有充分理由，请勿忽视！
Make sure that it corresponds to your extended ISO settings.|请确保它与扩展 ISO 设置一致。
Might conflict with Dual ISO prefixes (to be tested).|可能与双 ISO 文件前缀冲突，仍需测试。
Note: this will not remove the saved sequence.|注意：这不会删除已保存的序列。
On some lenses, this may be reversed.|部分镜头上的方向可能相反。
Only used if you start bracketing by pressing the shutter.|仅在按快门启动包围拍摄时使用。
Other ML features may use the options below (e.g. intervalometer in LV).|其他 ML 功能也可能使用以下选项，例如实时取景间隔拍摄。
Percentage of overall brightness level.\n8 bit RGB level.\nHTML like color codes.\nNegative value from clipping, in EV (RAW).\nRGB color in Percentage.\n|整体亮度级别的百分比。\n8 位 RGB 数值。\n类似 HTML 的颜色代码。\n距溢出点的负 EV 值（RAW）。\n以百分比表示的 RGB 颜色。\n
Press LiveView to start recording.|按实时取景键开始录像。
Press REC twice: 1 - to start pre-recording, 2 - for normal recording.|按两次录像键：第一次开始预录，第二次开始正常录像。
Press SET for detailed info.|按 SET 查看详细信息。
Read-only. Lenses from different manufacturers may have the same ID.|只读；不同厂商的镜头可能使用相同 ID。
Read-only. Should match exiftool TEST.CR2 -LensSerialNumber .|只读；应与 exiftool TEST.CR2 -LensSerialNumber 一致。
Read-only. Zoom lenses are only updated in LiveView.|只读；变焦镜头信息仅在实时取景中更新。
Scan from top to bottom as picture is taken.\nScan from bottom to top.\nScan from left to right.\nScan from right to left.\nKeep scan line in middle of frame, horizontally.\n|拍摄时从上向下扫描。\n从下向上扫描。\n从左向右扫描。\n从右向左扫描。\n扫描线水平保持在画面中央。\n
Side effect: will show BUSY on the screen and might affect other functions.|副作用：屏幕会显示 BUSY，并可能影响其他功能。
Simple: only consider defocus blur, ignoring diffraction effects.\nDiffraction-aware: consider both defocus and diffraction blur.\n|简单：仅考虑失焦模糊，忽略衍射。\n考虑衍射：同时考虑失焦和衍射模糊。\n
Some cards seem to get a bit faster after this.|部分存储卡经过预热后速度会略有提升。
Start image capture on half-shutter press (quick).\nStart image capture on half-shutter release (end trigger).\nStart image capture 2 seconds after half-shutter release.\n|半按快门时开始捕获（快速）。\n松开半按快门时开始捕获（末端触发）。\n松开半按快门 2 秒后开始捕获。\n
Strong edges: looks for edges, works best in low light.\nBalanced: tries to cover both strong edges and fine details.\nFine details: looks for microcontrast. Needs lots of light.\n|强边缘：检测边缘，低照度下效果最佳。\n均衡：兼顾强边缘和精细细节。\n精细细节：检测微反差，需要充足光线。\n
Take a silent picture when you press the shutter halfway.\nTake pictures until memory gets full, then save to card.\nTake pictures continuously, save the last few pics to card.\nTake pictures continuously, save the images with best focus.\nDistorted pictures for funky effects.\nFull-resolution pictures (limited to long exposures).\nFull-resolution pictures (LiveView snapshots, with crop_rec).\n|半按快门时进行静音拍摄。\n连续拍摄至内存装满，然后保存到卡。\n连续拍摄，只将最后几张保存到卡。\n连续拍摄，只保存对焦最清晰的图像。\n拍摄变形图像以获得特殊效果。\n全分辨率拍摄（仅限长曝光）。\n全分辨率拍摄（实时取景快照，需 crop_rec）。\n
Take darker images.\nTake dark, bright, even darker, even brigther images, in that order\nTake brighter images.\n|拍摄较暗图像。\n依次拍摄暗、亮、更暗、更亮的图像。\n拍摄较亮图像。\n
This feature only works as long as you don't trigger autofocus.|此功能仅在不触发自动对焦时有效。
This sequence will be auto-loaded at startup.|此序列将在启动时自动加载。
Tip: it prevents you from changing it by mistake.|提示：可防止误改此设置。
Tip: press MENU to interrupt the stacking sequence.|提示：按 MENU 可中止堆栈序列。
To start ramping, press |要启动渐变，请按 
To trigger, hold shutter pressed halfway for 1 second.|持续半按快门 1 秒即可触发。
Try 75% if you get black borders (e.g. Samyang 8mm on 5D).|如出现黑边，请尝试 75%（例如 5D 上的三阳 8mm）。
Use arrow keys (joystick) to move the window.|使用方向键或摇杆移动窗口。
Use this to allow spec(ta)cular highlights to be clipped.|允许镜面高光溢出。
When you exit ML menu, or at camera startup.\nOn half-shutter press.\nAfter you take the first picture.|退出 ML 菜单或相机启动时。\n半按快门时。\n拍摄第一张照片后。
Will not sync properly in burst mode or when taking pics quickly.|连拍或快速拍照时可能无法正确同步。
With some clever post, you get less shadow noise (more DR).|经过适当后期处理，可降低阴影噪声并获得更高动态范围。
You have to press halfshutter for a while.|需要持续半按快门一段时间。
You should clear all keyframes when switching this setting|切换此设置时应清除所有关键帧
You will need to restart the camera for the changes to take effect.|需要重启相机才能使更改生效。
in mids & shadows. It will disable dual ISO if not needed.|中间调和阴影；不需要时会关闭双 ISO。
noisier than selected SNR => will clip more highlights.|噪声高于所选信噪比时，将允许更多高光溢出。
%d frames|%d 帧
%d sec|%d 秒
%d-bit lossless|%d 位无损
(%d pics)|（%d 张）
(dB)|（dB）
(no lens)|（无镜头）
(nonexistent)|（不存在）
1 frame|1 帧
Autodetect|自动检测
BULB|B 门
Best Shots|最佳照片
Burst|连拍
Clip warning  : %s|溢出警告：%s
DISP %d|显示预设 %d
DR+%d.%d|动态范围＋%d.%d
End Trigger|末端触发
FAILED|失败
FW default%s|固件默认%s
Full-res|全分辨率
Full-res LV|全分辨率实时取景
N/A|不可用
No|否
None|无
OFF, will not load|关闭，不会加载
ON, %dx%d|开启，%dx%d
ON, %s|开启，%s
ON, 2x|开启，2x
ON, dx=%d, dy=%d|开启，水平=%d，垂直=%d
ON, level=%d|开启，级别=%d
ON, will load|开启，将会加载
Press SET to confirm|按 SET 确认
RAW RGB|RAW RGB
REC:%s|录像：%s
Restart|重启
Roll.sh.%d%%|果冻效应 %d%%
Slit-Scan|狭缝扫描
Take pic|拍摄
Type: %s|类型：%s
Undo|撤销
like crazy|疯狂模式
max %d.%d|最大 %d.%d
this lens |此镜头 
%s unnecessary and may cause excessive shutter wear.|%s 不必要，并可能导致快门过度磨损。
%s. Press %s for more info.|%s。按 %s 查看详情。
AGC is enabled|自动增益控制已启用
AGC is enabled.|自动增益控制已启用。
Adjust shutter speed from top scrollwheel, outside menu.|在菜单外使用顶部拨盘调整快门速度。
Also useful to trigger off of motion or trap focus|也可用于运动检测或陷阱对焦触发
Assign AF button to half-shutter from CFn!|请在自定义功能中将自动对焦按钮分配给半按快门！
Auto ETTR Does not work in LV on this camera.|此相机的自动向右曝光无法在实时取景中工作。
Auto ETTR only works in M, BULB and RAW MOVIE modes.|自动向右曝光仅适用于 M、B 门和 RAW 视频模式。
Auto ETTR requires manual ISO.|自动向右曝光需要手动 ISO。
Auto ETTR: enable image review from Canon menu.|自动向右曝光：请在佳能菜单中启用图像回放。
Auto ISO => cannot estimate dynamic range.|自动 ISO：无法估算动态范围。
Autofocus and bracketing don't mix.|自动对焦与包围拍摄不能同时使用。
Be careful, bitrate is not constant, recording may stop.|注意：比特率不恒定，录像可能停止。
Be careful, high bitrates and sound recording don't mix.|注意：高比特率与声音录制不能同时使用。
Be careful, image quality may be bad.|注意：图像质量可能较差。
Be careful, recording may stop.|注意：录像可能停止。
Beeps disabled to prevent interference with audio recording.|为避免干扰声音录制，蜂鸣已禁用。
Bitrate may vary a lot (several orders of magnitude!)|比特率可能大幅变化（相差数个数量级）。
Both ISOs are identical, nothing to do.|两个 ISO 相同，无需处理。
Bulb timer only works in BULB mode|B 门定时器仅在 B 门模式中有效
CBR mode inactive => CBR setting not used.|CBR 模式未启用，CBR 设置无效。
Cache is locked down (not exactly clean).|缓存已锁定（状态不完全干净）。
Check auto power off setting (currently %ds).|请检查自动关机设置（当前 %d 秒）。
Consider using a less aggressive setting (e.g. 100/800).|建议使用较温和的设置，例如 100/800。
Cropmarks are configured only for movie mode|裁切标记仅针对视频模式配置
Disable autofocus.|请关闭自动对焦。
Disable image stabilization.|请关闭图像防抖。
Does not work on external monitors.|无法在外接显示器上工作。
Dual ISO does not work in movie mode on your camera.|此相机的视频模式不支持双 ISO。
Enable RAW video first.|请先启用 RAW 视频。
Enable image review from Canon menu.|请在佳能菜单中启用图像回放。
Extended WB values are only applied to movies, not photos.|扩展白平衡值仅应用于视频，不应用于照片。
FPS ramping disabled.|帧率渐变已禁用。
FPS value is computed from photo shutter speed.|帧率值根据照片快门速度计算。
Flash is automatic, can't adjust.|闪光灯处于自动模式，无法调整。
Focus peaking with grayscale preview is enabled.|已启用带灰度预览的峰值对焦。
Focus stacking not configured.|焦点堆栈尚未配置。
For best performance, record H.264 on SD. RAW is always saved on CF.|为获得最佳性能，请将 H.264 录到 SD 卡；RAW 始终保存到 CF 卡。
For long exposures, enable bulb timer (maybe also intervalometer).|长曝光请启用 B 门定时器，也可同时启用间隔拍摄。
Frame size not multiple of 512 bytes!|帧大小不是 512 字节的整数倍！
Framing in H.264 is not accurate in modes with higher vertical resolution.|高垂直分辨率模式中的 H.264 构图不准确。
Full-res LV requires the crop_rec module loaded.|全分辨率实时取景需要加载 crop_rec 模块。
Full-res pictures only work in Manual (M) photo mode.|全分辨率照片仅适用于手动（M）照片模式。
Full-screen Magic Zoom does not work in crop mode|全屏魔术变焦无法在裁切模式中使用
Half-shutter trigger uses pre-recording internally.|半按快门触发在内部使用预录功能。
Has no effect when trigger is set to take a pic|触发方式设为拍照时此项无效
Headphone monitoring is disabled|耳机监听已禁用
I hope I get to rated lifespan (rated lifespan %d).|希望能达到额定寿命（额定寿命 %d）。
In LiveView, this requires ExpSim enabled.|实时取景中需要启用曝光模拟。
Lets break Guiness World Records (rated lifespan %d).|挑战吉尼斯世界纪录（额定寿命 %d）。
Lifespans are for wimps (rated lifespan %d).|无视额定寿命（额定寿命 %d）。
Long exposure tools may use bulb timer value, even if BT is disabled.|即使 B 门定时器已关闭，长曝光工具仍可能使用其设定值。
Lossless 8...12-bit not working in video modes with increased resolution.|8–12 位无损格式无法在提升分辨率的视频模式中工作。
ML uses too much memory!!|ML 使用了过多内存！
Magic Zoom does not work in HDMI 1080i.|魔术变焦无法在 HDMI 1080i 中使用。
Magic Zoom does not work well in current video mode|魔术变焦在当前视频模式中效果不佳
Magic Zoom does not work with SD monitors|魔术变焦无法在标清显示器上使用
Magic Zoom is not available in this mode|当前模式无法使用魔术变焦
Max region: %s.|最大区域：%s。
Memcheck overhead: %d.%d%%.|内存检查开销：%d.%d%%。
No burst bracketing series, please.|请勿使用连拍包围序列。
No dynamic range info available.|没有可用的动态范围信息。
Not compatible with HDR bracketing.|与 HDR 包围拍摄不兼容。
Not compatible with HDR bracketing. Use trigger mode SET.|与 HDR 包围拍摄不兼容，请使用 SET 触发模式。
Not compatible with x5 zoom.|与 5 倍变焦不兼容。
Not enough space for %d shots (only for %d).|空间不足以拍摄 %d 张（只能拍 %d 张）。
Not fully compatible with continuous drive.|与连续拍摄模式不完全兼容。
Not used for RAW zebras.|RAW 斑马纹不使用此项。
Not working in video modes with broken preview.|无法在预览异常的视频模式中工作。
Now you got under 10Hz, but meter is wrong value signed|当前已低于 10Hz，但电平表符号值不正确
Only works when 'Auto power off' is disabled in Canon menu.|仅在佳能菜单关闭“自动关机”时有效。
Patch %x overwritten (expected %x, got %x).|补丁 %x 被覆盖（预期 %x，实际 %x）。
Photo RAW data not available, try in LiveView.|照片 RAW 数据不可用，请尝试实时取景。
Photo RAW data not available.|照片 RAW 数据不可用。
Please load the IME modules (ime_base.mo and one ime_*.mo)|请加载输入法模块（ime_base.mo 和一个 ime_*.mo）
Please restart your camera to apply the changes.|请重启相机以应用更改。
Please take a picture to apply the changes.|请拍摄一张照片以应用更改。
Please wait for Lua to finish loading...|请等待 Lua 加载完成…
Press shutter halfway and be careful (tricky feature).|请小心半按快门（此功能较特殊）。
Record a video clip first.|请先录制一段视频。
Restart your camera to complete the process.|请重启相机以完成操作。
Restart your camera.|请重启相机。
Running in background. Complex script%s%s%s%s%s.|正在后台运行。复杂脚本%s%s%s%s%s。
Running in background. Menu: %s -> %s.|正在后台运行。菜单：%s -> %s。
Script is running.|脚本正在运行。
Shutter speed is automatic - cannot adjust manually.|快门速度为自动，无法手动调整。
Shutter speed: 1/%d -> 1/%d (%s%d units)|快门速度：1/%d -> 1/%d（%s%d 单位）
Shutter speed: 1/%d.%03d -> 1/%d.%03d (%s%d units)|快门速度：1/%d.%03d -> 1/%d.%03d（%s%d 单位）
Slowest shutter will be limited by interval time minus 2 seconds.|最慢快门受限于间隔时间减 2 秒。
Sound recording must be disabled from Canon menu.|必须在佳能菜单中关闭声音录制。
The 'Balanced' option is not working|“均衡”选项当前不可用
This allocator does not implement get_max_region.|此内存分配器未实现 get_max_region。
This feature does not work in BULB mode (use Bulb Duration)|此功能无法在 B 门模式中使用（请使用 B 门时长）
This feature does not work with HDR bracketing.|此功能无法与 HDR 包围拍摄同时使用。
This feature does not work with global time keyframes|此功能无法与全局时间关键帧同时使用
This feature only works in BULB mode|此功能仅在 B 门模式中有效
This is only an upper limit for the bitrate.|这只是比特率上限。
This keyframe already exists, will be overwritten|此关键帧已存在，将被覆盖
This module will be loaded at next reboot.|此模块将在下次重启时加载。
This module will no longer be loaded at next reboot.|此模块下次重启时将不再加载。
This script will autorun on next boot.|此脚本将在下次启动时自动运行。
Timelapse: %dh%02dm, %d shots, %d fps => %02dm%02ds.|延时摄影：%d时%02d分，%d 张，%d 帧率 => %02d分%02d秒。
To use the MLV file format, you must load the mlv_rec module.|要使用 MLV 格式，必须加载 mlv_rec 模块。
Too much for this lil' cam... both defishing and anamorphic|同时使用鱼眼校正和变形宽银幕超出相机能力
Trap focus outside LiveView requires a chipped lens|实时取景外使用陷阱对焦需要带芯片的镜头
Trying to guess how much RAM we have...|正在检测可用内存大小…
Turn off Canon bracketing (AEB)!|请关闭佳能自动包围曝光（AEB）！
Use M mode to avoid exposure flicker.|使用 M 模式以避免曝光闪烁。
Use manual white balance to avoid WB flicker.|使用手动白平衡以避免白平衡闪烁。
Use slow shutter speeds to avoid shutter flicker.|使用较慢快门以避免快门闪烁。
Using %d.%ds (%d frames) out of %d.%ds (%d frames) for pre-recording.|预录使用 %d.%d 秒（%d 帧），总计 %d.%d 秒（%d 帧）。
VBR mode inactive => QScale setting not used.|VBR 模式未启用，QScale 设置无效。
Will use Histobar in LiveView, RAW histogram after taking a pic.|实时取景使用直方条，拍照后使用 RAW 直方图。
Will use RAW RGB zebras %safter taking a pic.|拍照后%s使用 RAW RGB 斑马纹。
Will use RAW histogram in LiveView and after taking a pic.|实时取景和拍照后均使用 RAW 直方图。
Would be nice to have at least %s free here.|此处最好至少保留 %s 空闲空间。
You may get around %d.|可能达到约 %d。
You must rename *.UFR to *.ufraw: rename 's/UFR$/ufraw/' *|必须将 *.UFR 重命名为 *.ufraw：rename 's/UFR$/ufraw/' *
You need to disable gradual exposure.|需要关闭渐变曝光。
You need to load the mlv_play module.|需要加载 mlv_play 模块。
 Intervalometer: waiting for %s...\n| 间隔拍摄：等待 %s…\n
 Taking picture in %d.%ds   | 将在 %d.%d 秒后拍摄   
!!! Auto exposure !!!\nSet 'Movie Exposure -> Manual' from Canon menu|！！！自动曝光！！！\n请在佳能菜单中将“视频曝光”设为“手动”
%d images  |%d 张图像  
%s not found|找不到 %s
%s not loaded|%s 未加载
%s: %d MiB, %d frames|%s：%d MiB，%d 帧
%s: PARSE ERROR:\nlen=%d,%d\nstring='%s'|%s：解析错误：\n长度=%d,%d\n字符串='%s'
(Press any camera button to enter ML settings)|（按相机上的任意按钮进入 ML 设置）
(failed inSuite)|（inSuite 失败）
(format not supported)|（不支持此格式）
(no decompression on this model)|（此机型不支持解压）
(take pic or release half-shutter)|（拍照或松开半按快门）
180deg|180 度
404 Undocumented Feature|404 未记录的功能
After all, we are programmers, not tech writers.|毕竟我们是程序员，不是技术文档作者。
Allocated memory|已分配内存
Average exposure: %3d    New exposure: %3d   |平均曝光：%3d    新曝光：%3d   
Battery: %d%%, %dh%02dm, %d%%/h|电池：%d%%，%d时%02d分，%d%%/小时
Be careful using it for production work.      |用于正式拍摄时请务必谨慎。      
Buffer error|缓冲区错误
Buffer: %d frames (%d%%)|缓冲区：%d 帧（%d%%）
Built on %s by %s.|构建日期：%s，构建者：%s。
Busy...|处理中…
But... you can simply try it and see what it does.|不过，你可以直接试试看它的作用。
CONFIG PARSE ERROR|配置解析错误
Callbacks:|回调：
Captured in %d ms.|捕获耗时 %d 毫秒。
Capturing frame %d...|正在捕获第 %d 帧…
